"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Slc43a3","Slc43a3","chr2",2601,"solute carrier family 43, member 3","protein-coding",-0.569364007406118,6.91942179262309,-1.61772791033455,0.141947656422889,0.224004932597326,-6.27098378007657
"Snord2","Snord2","chr16",68,"small nucleolar RNA, C/D box 2","snoRNA",0.30175133700631,1.24220863690733,0.647041455672064,0.534545610542606,0.629581114995346,-6.27113486607299
"Efr3b","Efr3b","chr12",6547,"EFR3 homolog B","protein-coding",0.695750940651668,2.61153317037276,0.91590240636152,0.384760615537545,0.489769807671841,-6.2712919912639
"Rpl41","Rpl41","chr10",449,"ribosomal protein L41","protein-coding",-0.407061059451961,9.9520888379996,-1.63019983811804,0.139182276346321,0.220593548057508,-6.27138899830375
"Pnldc1","Pnldc1","chr17",1689,"poly(A)-specific ribonuclease (PARN)-like domain containing 1","protein-coding",0.132637865690335,0.0316768827447107,0.276767078815991,0.788516439427601,0.842475762742046,-6.27140118832363
"Ints11","Ints11","chr4",2347,"integrator complex subunit 11","protein-coding",0.341906511659006,6.33733801575907,1.58874852023481,0.14826147653997,0.231723896000109,-6.27143064427762
"Brap","Brap","chr5",3713,"BRCA1 associated protein","protein-coding",0.33092186108387,6.32306311405644,1.58807014779907,0.148414414056202,0.231909313816469,-6.27197797555642
"Pfdn1","Pfdn1","chr18",1077,"prefoldin 1","protein-coding",-0.461594505066867,5.82140722596986,-1.58583004469939,0.14892045096769,0.232485096124481,-6.2719819540948
"Lgmn","Lgmn","chr12",1874,"legumain","protein-coding",0.722424867722009,6.66479242766701,1.59168100789468,0.148251717020598,0.231723896000109,-6.27227868842734
"Rcn1","Rcn1","chr2",3063,"reticulocalbin 1","protein-coding",-2.57823836110008,4.10006514159065,-1.47509810804297,0.176997658878563,0.266442367590408,-6.27255648512209
"Tmem181a","Tmem181a","chr17",1869,"transmembrane protein 181A","protein-coding",0.627789281241287,2.98058545232641,1.01150373063117,0.339473437069519,0.443823278149001,-6.27266987787563
"Thoc3","Thoc3","chr13",2326,"THO complex 3","protein-coding",0.549095361395339,6.5711470648417,1.59207948588186,0.147526233741926,0.230895034891143,-6.27300596676269
"Saraf","Saraf","chr8",1899,"store-operated calcium entry-associated regulatory factor","protein-coding",-0.772895058449611,5.31422706199501,-1.55900009163517,0.155860815015452,0.24095518863754,-6.27353928695597
"A930013F10Rik","A930013F10Rik","chr8",2439,"RIKEN cDNA A930013F10 gene","ncRNA",-0.313628276334511,1.95416302335517,-0.894272827475008,0.395590945732096,0.500635078364252,-6.27375426862553
"Dctn1","Dctn1","chr6",4508,"dynactin 1","protein-coding",0.270048808086172,6.89392676719042,1.6089571628168,0.143770228287417,0.226273688356904,-6.27416793325085
"Mrpl11","Mrpl11","chr19",2882,"mitochondrial ribosomal protein L11","protein-coding",0.415749299135992,6.13864435745316,1.57108958988238,0.152289236685098,0.23676012064151,-6.27485464143031
"Gm4013","Gm4013","chr18",416,"predicted gene 4013","ncRNA",-0.318125331070234,0.357288469268909,-0.465150238397621,0.653413434487056,0.733788755525986,-6.27530201002547
"Krcc1","Krcc1","chr6",1749,"lysine-rich coiled-coil 1","protein-coding",-0.411980754281975,4.8760497083376,-1.49207800901355,0.171536376242424,0.259959409902664,-6.27538294124244
"Zfp748","Zfp748","chr13",4971,"zinc finger protein 748","protein-coding",0.282017555127868,3.98236475828974,1.25908036981891,0.24120631974053,0.339511831065137,-6.27600849844235
"Rasgrp1","Rasgrp1","chr2",5105,"RAS guanyl releasing protein 1","protein-coding",2.80048880949342,2.53785035942436,0.612519933449835,0.55656262952896,0.64929105382753,-6.27649095154266
"4933404O12Rik","4933404O12Rik","chr5",3970,"RIKEN cDNA 4933404O12 gene","ncRNA",0.510167190559837,4.57564220436935,1.35312653495864,0.21061940354813,0.304706286686739,-6.27685684734435
"Pik3r3","Pik3r3","chr4",5004,"phosphoinositide-3-kinase regulatory subunit 3","protein-coding",-0.871050523252424,2.57467138093766,-1.08905405722297,0.306172113165369,0.409349663018784,-6.27692476782943
"H2bc6","H2bc6","chr13",2510,"H2B clustered histone 6","protein-coding",0.13496347073872,0.198462423597238,0.325573384600429,0.752553275681217,0.813111142758969,-6.27737028012722
"A330069E16Rik","A330069E16Rik","chr2",892,"RIKEN cDNA A330069E16 gene","ncRNA",0.0790073879780744,-0.129105927673355,0.180856347333715,0.860683851350632,0.898219021336978,-6.27739589619555
"Csrnp2","Csrnp2","chr15",4126,"cysteine-serine-rich nuclear protein 2","protein-coding",-0.254370404078616,2.56468682530205,-1.01661904039361,0.337168359260756,0.441535436858565,-6.2774850548195
"Mtmr4","Mtmr4","chr11",5692,"myotubularin related protein 4","protein-coding",0.294014610537739,6.11343741619961,1.57217077164467,0.152039833733699,0.23642675007629,-6.27822441401353
"Sdk1","Sdk1","chr5",8513,"sidekick cell adhesion molecule 1","protein-coding",-0.210995428573962,-0.24994378825734,-0.174213456867141,0.86574740425159,0.902457069839314,-6.27866099070032
"Uhrf1bp1l","Uhrf1bp1l","chr10",6446,"UHRF1 (ICBP90) binding protein 1-like","protein-coding",0.258027834361687,6.12928098571695,1.57434544693531,0.151539299373584,0.23572973617467,-6.27882628214304
"Wdyhv1","Wdyhv1","chr15",1324,"WDYHV motif containing 1","protein-coding",0.417877025564759,4.66385039431789,1.37866029470272,0.202908169527917,0.296242882391245,-6.27896183763493
"Gosr2","Gosr2","chr11",3078,"golgi SNAP receptor complex member 2","protein-coding",-0.264319823814634,6.55771795467265,-1.60535945080519,0.144560685986579,0.227147592704768,-6.27912575683891
"Acot6","Acot6","chr12",1822,"acyl-CoA thioesterase 6","protein-coding",-0.186274369609425,-0.323569952549109,-0.0995099452894319,0.923089695664094,0.943678797450039,-6.28001739123188
"Smyd4","Smyd4","chr11",3517,"SET and MYND domain containing 4","protein-coding",0.329737199717422,3.3692059697149,1.12055883309111,0.292886885091761,0.394827873711436,-6.28078523973963
"Gmcl1","Gmcl1","chr6",2944,"germ cell-less, spermatogenesis associated 1","protein-coding",-0.26779884854658,5.27252052871804,-1.52673088160295,0.162843261440177,0.249241989804463,-6.28088237321983
"Rgs19","Rgs19","chr2",1457,"regulator of G-protein signaling 19","protein-coding",-0.369028900946005,5.86179736986044,-1.57918866295151,0.150429881536049,0.234446873321952,-6.28105103092876
"2810410L24Rik","2810410L24Rik","chr11",1707,"RIKEN cDNA 2810410L24 gene","ncRNA",-0.0226138241487145,-0.261346580582399,-0.0192300562936092,0.985097720607671,0.990371498277666,-6.28172249052677
"Slx1b","Slx1b","chr7",3692,"SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)","protein-coding",-0.376025391974844,3.83341157833536,-1.30121156799557,0.227070922006264,0.323692771370237,-6.28195119523588
"A830082N09Rik","A830082N09Rik","chr10",7840,"RIKEN cDNA A830082N09 gene","ncRNA",0.349363073350502,1.26405038536579,0.630218412990886,0.544982946619989,0.639201459164544,-6.28260047804057
"Rasl11b","Rasl11b","chr5",1768,"RAS-like, family 11, member B","protein-coding",-0.661841433471719,0.0318608744358559,-0.395471800627085,0.702442969394941,0.774439937148483,-6.28264242196842
"Marf1","Marf1","chr16",7765,"meiosis regulator and mRNA stability 1","protein-coding",0.340564250976509,6.52649796374835,1.58957245605508,0.148075913221844,0.231641556990285,-6.28288128892234
"Hsf2","Hsf2","chr10",2623,"heat shock factor 2","protein-coding",0.593951554452935,4.31921128454153,1.28465282658248,0.232541376665515,0.329787282766354,-6.28350724226606
"Prkx","Prkx","chrX",3216,"protein kinase, X-linked","protein-coding",-0.380438625512624,4.05307573523265,-1.34440680624994,0.213309581879227,0.307709256010779,-6.28351752211625
"Cpsf7","Cpsf7","chr19",3604,"cleavage and polyadenylation specific factor 7","protein-coding",-0.317941352110348,7.34088004235322,-1.61046420438046,0.143440278508786,0.225859555807301,-6.28373977207848
"Acd","Acd","chr8",1425,"adrenocortical dysplasia","protein-coding",-0.297486198285976,5.54578757477071,-1.55149159591068,0.156874143206269,0.242244779613061,-6.28447830289774
"Syn3","Syn3","chr10",11838,"synapsin III","protein-coding",0.263755153719786,1.12464685362683,0.593202675580243,0.568364096426184,0.659575548298736,-6.28477526998793
"Smpd2","Smpd2","chr10",1602,"sphingomyelin phosphodiesterase 2, neutral","protein-coding",-0.523657600628532,4.25364782285917,-1.39683137953655,0.197569462353136,0.290047415904099,-6.28484877663392
"Creld2","Creld2","chr15",1364,"cysteine-rich with EGF-like domains 2","protein-coding",-0.536164009243947,5.30878747981969,-1.54055088540699,0.159487115073652,0.245327108408515,-6.2849343214821
"Bace1","Bace1","chr9",4194,"beta-site APP cleaving enzyme 1","protein-coding",-0.322928192173281,3.62521194977081,-1.24565860324327,0.245860675335129,0.344914109898971,-6.28575737451883
"Ufd1","Ufd1","chr16",1996,"ubiquitin recognition factor in ER-associated degradation 1","protein-coding",-0.272314399094907,5.98132855388282,-1.57933075937543,0.150397442666725,0.234446873321952,-6.28591520365193
"Gm10451","Gm10451","chr12",893,"predicted gene 10451","ncRNA",2.06260640710515,2.91534247171726,0.793054090630852,0.449770484591743,0.552899965648237,-6.28646572662536
"Yipf4","Yipf4","chr17",2133,"Yip1 domain family, member 4","protein-coding",0.244584446264801,5.34956352826062,1.49814245373031,0.169985975042333,0.258128972208826,-6.28659924564102
"Nat9","Nat9","chr11",1130,"N-acetyltransferase 9 (GCN5-related, putative)","protein-coding",-0.390139228755243,3.19308163183627,-1.15806500377495,0.278084213130782,0.379603070922172,-6.28678495955183
"Arfip1","Arfip1","chr3",3023,"ADP-ribosylation factor interacting protein 1","protein-coding",0.249317745634916,5.44997362891817,1.50882707435756,0.167284568919653,0.254713362202998,-6.28697626217446
"Amdhd1","Amdhd1","chr10",2421,"amidohydrolase domain containing 1","protein-coding",-0.190646212108802,-0.151686911589624,-0.185103349615546,0.857453264831745,0.896357196572154,-6.28731395016408
"Ufsp2","Ufsp2","chr8",1531,"UFM1-specific peptidase 2","protein-coding",0.275786549081492,5.27536165870402,1.48493507759363,0.173378516376138,0.262073887079013,-6.28753859685584
"Sbno2","Sbno2","chr10",4640,"strawberry notch 2","protein-coding",-0.438393860174175,5.91531586425056,-1.57915670854746,0.150437177201483,0.234446873321952,-6.28787199883839
"Rnf7","Rnf7","chr9",1132,"ring finger protein 7","protein-coding",0.224305264924526,6.66414697388494,1.59342055020345,0.147212032814344,0.230643556857792,-6.28847501907468
"Commd5","Commd5","chr15",998,"COMM domain containing 5","protein-coding",0.480811339415015,4.14719854511473,1.25761127243569,0.241712173191207,0.3400822365992,-6.28891919155163
"Mbnl3","Mbnl3","chrX",8671,"muscleblind like splicing factor 3","protein-coding",0.338792201736157,6.56937080654562,1.58679054982497,0.148703283728876,0.232251297347374,-6.28908988337137
"Rnf168","Rnf168","chr16",4468,"ring finger protein 168","protein-coding",0.320681658173192,5.84893558103863,1.54256656042766,0.159002807693886,0.244888593556104,-6.28914645332431
"Reln","Reln","chr5",11702,"reelin","protein-coding",3.85832798219892,3.00762798250638,0.570835462059693,0.583198187705982,0.67281560181791,-6.29004039624993
"Ccl25","Ccl25","chr8",1274,"chemokine (C-C motif) ligand 25","protein-coding",-0.303696335577923,1.38528909679612,-0.739584695072494,0.479315186340911,0.580146865501339,-6.29095117662312
"Litaf","Litaf","chr16",2237,"LPS-induced TN factor","protein-coding",-1.25353858201944,4.96582004017427,-1.53159548731712,0.16271916845324,0.249108455237348,-6.29126787817199
"Fkbpl","Fkbpl","chr17",1154,"FK506 binding protein-like","protein-coding",0.284252002735989,1.79336201589831,0.765187910242696,0.464704484266552,0.567030893580728,-6.29147120173873
"Tmem129","Tmem129","chr5",2244,"transmembrane protein 129","protein-coding",-0.428716553696898,4.28547976407055,-1.38859358147515,0.19997453999024,0.293005608496753,-6.29165553597481
"Amacr","Amacr","chr15",2575,"alpha-methylacyl-CoA racemase","protein-coding",0.363572742347954,2.80541348228424,0.981160678569474,0.353392416068685,0.45794698655019,-6.29219185613635
"Zfyve21","Zfyve21","chr12",1310,"zinc finger, FYVE domain containing 21","protein-coding",0.606227423034768,4.27089845779902,1.26992280896777,0.237500138984392,0.335167454254041,-6.29234727164175
"Trp53bp2","Trp53bp2","chr1",4370,"transformation related protein 53 binding protein 2","protein-coding",0.470877577713277,5.67106930477299,1.51383054155747,0.166032676140529,0.253206385528547,-6.29261702437427
"Sclt1","Sclt1","chr3",3020,"sodium channel and clathrin linker 1","protein-coding",-0.363224568311091,4.54552882272335,-1.42501424976121,0.18952964293578,0.280928557567933,-6.29321004920767
"Fbxl5","Fbxl5","chr5",3328,"F-box and leucine-rich repeat protein 5","protein-coding",0.580225532133764,6.3845315019628,1.56554745564903,0.153661218821605,0.23823567706535,-6.29435021562108
"Casd1","Casd1","chr6",3760,"CAS1 domain containing 1","protein-coding",-2.49707268635397,3.24973509409776,-1.33288649748538,0.217916708827688,0.312952928312179,-6.29436923863767
"Gtpbp8","Gtpbp8","chr16",1304,"GTP-binding protein 8 (putative)","protein-coding",0.312038363396985,3.65645706845208,1.17247864257291,0.272557850878473,0.373455077191714,-6.2943699714128
"A430035B10Rik","A430035B10Rik","chr6",1936,"RIKEN cDNA A430035B10 gene","ncRNA",-0.202224982609442,-0.0907305832469501,-0.219678666029569,0.831263195536315,0.876115386407403,-6.29524862291277
"Maip1","Maip1","chr1",1325,"matrix AAA peptidase interacting protein 1","protein-coding",0.388672090664714,4.83597287231639,1.40004579584896,0.196637794506627,0.288867842190799,-6.29590158831075
"Taldo1","Taldo1","chr7",1276,"transaldolase 1","protein-coding",0.258590605666521,7.53027984427319,1.60067006249116,0.14559689805871,0.228556081505832,-6.29601617194623
"Usp7","Usp7","chr16",5427,"ubiquitin specific peptidase 7","protein-coding",0.266501366887382,8.62478388936367,1.60547089263567,0.14453614207087,0.227135422703421,-6.29623866918846
"H2ac8","H2ac8","chr13",704,"H2A clustered histone 8","protein-coding",0.291145339455339,0.413660390821028,0.322376143278143,0.754890935072613,0.815050733300072,-6.29671236581217
"Rtn4rl2","Rtn4rl2","chr2",1263,"reticulon 4 receptor-like 2","protein-coding",0.134181657516166,-0.105390284142012,0.05134416306317,0.960262782447197,0.97212586713601,-6.29725926242381
"Tmed4","Tmed4","chr11",1625,"transmembrane p24 trafficking protein 4","protein-coding",-0.461485075891458,5.01937759041557,-1.49661022692039,0.170376520449618,0.258634886381418,-6.29758575934855
"Cyrib","Cyrib","chr15",3800,"CYFIP related Rac1 interactor B","protein-coding",0.500826136514461,7.44254532668653,1.59754178582284,0.146291880165482,0.229404291312081,-6.29778913740872
"Pih1d1","Pih1d1","chr7",1101,"PIH1 domain containing 1","protein-coding",0.284253213494861,5.35256583668402,1.48644251219295,0.172988305880264,0.261647120237212,-6.29782493800445
"Snord58b","Snord58b","chr18",55,"small nucleolar RNA, C/D box 58B","snoRNA",0.206968989293818,0.350313343873315,0.310548708666405,0.763561491078347,0.82283533281823,-6.2980185280237
"Rxrb","Rxrb","chr17",2768,"retinoid X receptor beta","protein-coding",0.2950543526904,6.88172989863649,1.59047271485338,0.147873400250184,0.231384821754743,-6.29872509439884
"Zc3h14","Zc3h14","chr12",4184,"zinc finger CCCH type containing 14","protein-coding",0.511422570554233,7.26828728454266,1.59432903381826,0.147008746946297,0.230356074922518,-6.29934300299606
"Msantd1","Msantd1","chr5",2793,"Myb/SANT-like DNA-binding domain containing 1","protein-coding",0.0952435723759683,0.0406284029929829,0.179520712987583,0.861700408121467,0.898931503603916,-6.29975983268185
"Tpgs1","Tpgs1","chr10",1101,"tubulin polyglutamylase complex subunit 1","protein-coding",-0.37907745705344,4.33549490107927,-1.38463978548981,0.20113781935304,0.294356111284972,-6.30075475590249
"AI504432","AI504432","chr3",5544,"expressed sequence AI504432","ncRNA",0.407419629426545,5.60206636344856,1.50385611256548,0.168536613934201,0.256302278371875,-6.30099097873374
"Snord104","Snord104","chr11",73,"small nucleolar RNA, C/D box 104","snoRNA",0.28142813853288,2.40862564711067,0.896170044268047,0.394632327896444,0.499655745433825,-6.30143646339529
"Vps51","Vps51","chr19",2631,"VPS51 GARP complex subunit","protein-coding",0.353384872213673,6.06862853687178,1.54897610886069,0.157471504259312,0.243028445279096,-6.30205991525479
"Pllp","Pllp","chr8",1889,"plasma membrane proteolipid","protein-coding",-1.13812541477773,0.860510490123226,-0.693210702492753,0.507066017312324,0.605764235737758,-6.30271091582468
"Smarcd1","Smarcd1","chr15",3153,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","protein-coding",-0.410316793167224,6.55325694339611,-1.5894562473551,0.14810207255723,0.231641556990285,-6.30283945740052
"Amh","Amh","chr10",1665,"anti-Mullerian hormone","protein-coding",0.20055441300218,0.347473489357603,0.299364694439262,0.771792796570992,0.828865004164923,-6.30350225425214
"Letm1","Letm1","chr5",3480,"leucine zipper-EF-hand containing transmembrane protein 1","protein-coding",0.339875530379294,6.42956205351904,1.56971817048904,0.15260611943931,0.237116449200058,-6.30383959022615
"Gas2l3","Gas2l3","chr10",6748,"growth arrest-specific 2 like 3","protein-coding",-2.53145716858362,4.02956201367497,-1.44152294721435,0.185998844394602,0.276848345999496,-6.30412894001399
"Poln","Poln","chr5",2897,"DNA polymerase N","protein-coding",0.376110015136907,1.88024800102018,0.75718771490792,0.469238180611513,0.570862825269774,-6.3041828685089
"Becn1","Becn1","chr11",2031,"beclin 1, autophagy related","protein-coding",0.219157211706118,6.89477204700396,1.58768876622117,0.148500458110485,0.232016951018243,-6.30433983970477
"Tars2","Tars2","chr3",4440,"threonyl-tRNA synthetase 2, mitochondrial (putative)","protein-coding",0.256637812609281,6.58965331498782,1.57836967842381,0.150616968417553,0.234564850261891,-6.30454981196996
"Cenpq","Cenpq","chr17",1442,"centromere protein Q","protein-coding",-0.313400924028907,5.53320853066405,-1.53578693023596,0.160636992589337,0.246590914713944,-6.30511051930994
"Gramd4","Gramd4","chr15",4447,"GRAM domain containing 4","protein-coding",0.505235269087654,7.51963094591415,1.59259578080309,0.1473968061413,0.230822676431933,-6.30544703785916
"Clasp1","Clasp1","chr1",7899,"CLIP associating protein 1","protein-coding",-0.273006247405107,6.87332355456387,-1.59081185486711,0.147797175600623,0.231292316122225,-6.3055369489922
"Atp6ap2","Atp6ap2","chrX",2368,"ATPase, H+ transporting, lysosomal accessory protein 2","protein-coding",-0.416007554866599,6.01494562478942,-1.57058382067771,0.152406031794029,0.236887223346024,-6.3055649537082
"Hdhd3","Hdhd3","chr4",1083,"haloacid dehalogenase-like hydrolase domain containing 3","protein-coding",0.202525614513791,0.470210812815007,0.3388715102885,0.742859401756423,0.805210996564743,-6.30616560994376
"Gm13375","Gm13375","chr2",1385,"predicted gene 13375","ncRNA",-1.3030617586213,1.09742421017071,-0.77089965264269,0.462097204031587,0.56471586186832,-6.3063207515819
"Gm4532","Gm4532","chr7",713,"predicted gene 4532","ncRNA",-0.1067547657473,0.0333409862645277,-0.198169013162423,0.847532518910849,0.888821006613195,-6.30689152676669
"Wdfy2","Wdfy2","chr14",2011,"WD repeat and FYVE domain containing 2","protein-coding",0.324261534339714,2.70267894045421,0.949280105130427,0.368471604213923,0.474051632669864,-6.30717328077336
"Commd10","Commd10","chr18",1550,"COMM domain containing 10","protein-coding",-0.581498529050163,4.64449118311605,-1.44582893693716,0.183775938064347,0.274173503096991,-6.30718791403321
"Ess2","Ess2","chr16",2821,"ess-2 splicing factor","protein-coding",-0.290330365554425,5.17082591688159,-1.49771761960561,0.170094180477999,0.258264280094669,-6.30734624456822
"Ppp1r10","Ppp1r10","chr17",4319,"protein phosphatase 1, regulatory subunit 10","protein-coding",0.204288967735042,6.3539646483766,1.56776057193027,0.153059472077777,0.237684291026027,-6.30758076651465
"Gm4890","Gm4890","chr8",2642,"predicted gene 4890","ncRNA",-0.0305689616538482,-0.0667684123629756,-0.0413227531714341,0.967985015807337,0.978331992729183,-6.30765925108677
"Ccdc39","Ccdc39","chr3",3616,"coiled-coil domain containing 39","protein-coding",0.092540758332656,0.10215264012279,0.180502102663586,0.860953441885632,0.898290877979445,-6.30792770765955
"Exoc3l","Exoc3l","chr8",2497,"exocyst complex component 3-like","protein-coding",0.118477811554686,0.080110944809691,0.15420761598466,0.881015390359318,0.913372879393371,-6.30856621950404
"Slc27a3","Slc27a3","chr3",2265,"solute carrier family 27 (fatty acid transporter), member 3","protein-coding",0.489257750335256,2.51561576344931,0.886612435880208,0.399478465446171,0.504421771693844,-6.30891821090676
"Ecd","Ecd","chr14",3125,"ecdysoneless cell cycle regulator","protein-coding",0.240848267945508,7.24355632421849,1.58899030005797,0.148207002190365,0.231719111542082,-6.30901615314371
"Cox7a1","Cox7a1","chr7",366,"cytochrome c oxidase subunit 7A1","protein-coding",0.330298980742425,0.739295803040314,0.42515894324756,0.68119397762755,0.756254517735619,-6.30908328543037
"Ssc4d","Ssc4d","chr5",2724,"scavenger receptor cysteine rich family, 4 domains","protein-coding",-0.0620960227889858,0.00358899314326104,-0.145260807872144,0.88786300339859,0.918570332003393,-6.31036475460544
"Cabp1","Cabp1","chr5",1181,"calcium binding protein 1","protein-coding",-0.105799341237729,-0.0960128565495056,-0.100651939830659,0.922141460869185,0.942923292173656,-6.31046178235325
"Chd4","Chd4","chr6",6438,"chromodomain helicase DNA binding protein 4","protein-coding",0.251197975404817,9.39672120598506,1.59749505050337,0.146302285628583,0.229404291312081,-6.31087130725519
"Kif7","Kif7","chr7",4522,"kinesin family member 7","protein-coding",-1.74953807341897,1.55846148853436,-0.905764505255163,0.390538678199794,0.495410523848691,-6.31105306633645
"Dpp4","Dpp4","chr2",6301,"dipeptidylpeptidase 4","protein-coding",-3.65170712997615,5.56368993987325,-1.55424407061703,0.157290337448482,0.242831999616456,-6.31133470265059
"Gm19710","Gm19710","chr3",640,"predicted gene, 19710","ncRNA",0.204727474150509,0.474495876457932,0.334713404590103,0.745885432730043,0.807739959015567,-6.31144592152532
"Eid1","Eid1","chr2",2544,"EP300 interacting inhibitor of differentiation 1","protein-coding",-2.2393821384889,3.52317498181585,-1.35299732151232,0.211675174964717,0.305873681810189,-6.31229294567896
"Mark4","Mark4","chr7",2259,"MAP/microtubule affinity regulating kinase 4","protein-coding",-0.342509806040838,4.34214484313852,-1.37214189687702,0.204853330132602,0.298215103006343,-6.31338475905366
"Klhl8","Klhl8","chr5",3163,"kelch-like 8","protein-coding",0.376535995972528,0.599400510127546,0.348878507555703,0.735599410491519,0.799471799570661,-6.31418465306681
"Gpaa1","Gpaa1","chr15",2036,"GPI anchor attachment protein 1","protein-coding",0.40113025204421,5.72200599432928,1.50715123309115,0.167705741359764,0.255210954296609,-6.31420662746623
"Zfp697","Zfp697","chr3",5164,"zinc finger protein 697","protein-coding",-0.245481952635248,0.314397904883374,-0.347178709997511,0.736828005114773,0.800534468232772,-6.31444933732139
"Atxn1l","Atxn1l","chr8",7526,"ataxin 1-like","protein-coding",0.35772851563109,6.08696700616247,1.54066018548379,0.159460819735032,0.245314568624117,-6.31452560676719
"Rac3","Rac3","chr11",1078,"Rac family small GTPase 3","protein-coding",0.371426196996572,1.56040248809049,0.658900082738578,0.527260469851981,0.623717306462697,-6.31461175597162
"Pik3cb","Pik3cb","chr9",4854,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","protein-coding",-0.408151489457048,0.224012955772523,-0.350374423713394,0.734556169181511,0.798707998673358,-6.31467068112721
"Cmah","Cmah","chr13",9755,"cytidine monophospho-N-acetylneuraminic acid hydroxylase","protein-coding",1.64133341155088,3.56148700277932,0.973349808052936,0.357827732149357,0.462654354319528,-6.31517225153714
"Sos1","Sos1","chr17",8919,"SOS Ras/Rac guanine nucleotide exchange factor 1","protein-coding",0.495833996218375,5.6178666274215,1.48800269956395,0.172585256601108,0.261166788416741,-6.31603355905824
"Slc9a3r1","Slc9a3r1","chr11",1922,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1","protein-coding",-0.457579483813153,6.42680738366799,-1.57718820275891,0.150887230820493,0.234904576617603,-6.31686066514759
"Tceal9","Tceal9","chrX",1018,"transcription elongation factor A like 9","protein-coding",-2.20237085476218,4.11994648556017,-1.4380669209358,0.186947824975638,0.277954864910446,-6.31701407633076
"Nfrkb","Nfrkb","chr9",5161,"nuclear factor related to kappa B binding protein","protein-coding",0.30073047296928,6.3230961185537,1.5554985865078,0.155926778241678,0.241002054024432,-6.31762743821945
"Anapc7","Anapc7","chr5",2751,"anaphase promoting complex subunit 7","protein-coding",0.350920930303582,6.42288007242955,1.5582573061547,0.155277521505769,0.240177983984295,-6.31845245422924
"Dnai4","Dnai4","chr4",3793,"dynein axonemal intermediate chain 4","protein-coding",0.232786168344966,0.647578444698103,0.378222401835336,0.714461236996547,0.783473672784292,-6.31923092357377
"Gm15853","Gm15853","chr1",2514,"predicted gene 15853","ncRNA",0.0690038739706584,0.110831144588834,0.110314919145613,0.914699027355005,0.937013830507389,-6.31994541917593
"Gm3230","Gm3230","chr2",2092,"predicted gene 3230","ncRNA",-0.21348496480124,0.126633945286599,-0.23306575784073,0.821180046449736,0.867774553188502,-6.32030732281818
"Pomc","Pomc","chr12",1007,"pro-opiomelanocortin-alpha","protein-coding",-0.0778710545589361,0.0898554252142595,-0.153272658974468,0.881730496134143,0.913693902378123,-6.32056299205817
"Nr3c1","Nr3c1","chr18",6329,"nuclear receptor subfamily 3, group C, member 1","protein-coding",0.579910841734448,6.63530674372886,1.55900073483954,0.155287030248555,0.240177983984295,-6.32060193407568
"Ttc41","Ttc41","chr10",5032,"tetratricopeptide repeat domain 41","protein-coding",-0.617039565967718,2.42716252051343,-0.98565875060359,0.351302454702415,0.456057377241797,-6.32083306776947
"Lrrcc1","Lrrcc1","chr3",5930,"leucine rich repeat and coiled-coil domain containing 1","protein-coding",-2.15757456908038,4.06509691443318,-1.4264619161196,0.190165513758394,0.281685792235675,-6.32116734434805
"Bbof1","Bbof1","chr12",2190,"basal body orientation factor 1","protein-coding",-0.458632508073138,1.99207614951445,-0.86209360028139,0.412103504225778,0.516504586636702,-6.32145117453126
"Crocc","Crocc","chr4",6680,"ciliary rootlet coiled-coil, rootletin","protein-coding",0.557971160292341,5.14533589314545,1.41447599967797,0.19250204793533,0.284026646675426,-6.32198061267986
"Zfp142","Zfp142","chr1",7472,"zinc finger protein 142","protein-coding",0.372604586431994,5.1857149913586,1.43703878045103,0.186186890204288,0.277097737198919,-6.32214936275724
"Gpkow","Gpkow","chrX",3575,"G patch domain and KOW motifs","protein-coding",0.281514050105878,5.79427683386448,1.51532602643994,0.16566011644765,0.252809304118361,-6.32262042434656
"Ik","Ik","chr18",1996,"IK cytokine","protein-coding",-0.416167827524871,7.70753796004078,-1.58421814602296,0.149285538626895,0.233001242961359,-6.32264293084678
"Kat8","Kat8","chr7",1503,"K(lysine) acetyltransferase 8","protein-coding",0.266126246277255,4.99009729870905,1.41752443795089,0.191638073827574,0.283308374833,-6.32268065644577
"4930430F08Rik","4930430F08Rik","chr10",2419,"RIKEN cDNA 4930430F08 gene","protein-coding",0.33203280892814,3.03974870894479,1.00608314562241,0.341929097199852,0.446214006682675,-6.32301409301686
"AI837181","AI837181","chr19",1546,"expressed sequence AI837181","protein-coding",-0.359847031199747,4.90718570559881,-1.45692226826804,0.180772287213692,0.270648000821207,-6.32304902265667
"Zfp110","Zfp110","chr7",3549,"zinc finger protein 110","protein-coding",0.368766212984545,5.82221113579785,1.51219087203678,0.166442010520692,0.253716169588532,-6.32331976224824
"Cpsf4l","Cpsf4l","chr11",1575,"cleavage and polyadenylation specific factor 4-like","protein-coding",0.0509946492183789,0.106708871000698,0.0988768226329378,0.923509558268405,0.944036647565367,-6.323405899605
